STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Texas,36892,Harlingen,48,0,"118,838","46,951","140,267,207",54.16,"1,882,097",0.73,"2,194.30",Harlingen,Harlingen,TX,Texas,48061,Cameron,26.1916,-97.6977,121441,688.2,shape,False,True,America/Chicago,2,78550 78552 78551 78553,1840021036
Texas,37980,Heartland,48,0,"9,841","3,065","7,165,776",2.77,"142,320",0.05,"3,556.92",Heartland,Heartland,TX,Texas,48257,Kaufman,32.6748,-96.4515,8669,1004.9,shape,False,False,America/Chicago,3,75114 75126,1840147186
Texas,38242,Hempstead,48,0,"4,890","2,095","7,844,261",3.03,"2,782",0.0,"1,614.56",Hempstead,Hempstead,TX,Texas,48473,Waller,30.1006,-96.0777,5686,334.5,shape,False,True,America/Chicago,3,77445,1840020913
Texas,38323,Henderson,48,0,"14,924","4,608","27,194,749",10.5,"142,220",0.05,"1,421.34",Henderson,Henderson,TX,Texas,48401,Rusk,32.1576,-94.796,13338,430.9,shape,False,True,America/Chicago,3,75652 75654 75653,1840020767
Texas,38431,Hereford,48,0,"15,520","5,727","17,280,260",6.67,0,0.0,"2,326.16",Hereford,Hereford,TX,Texas,48117,Deaf Smith,34.8225,-102.4001,14943,912.3,shape,False,True,America/Chicago,3,79045,1840020462
Texas,38944,Hillsboro,48,0,"8,068","3,301","15,403,340",5.95,"58,410",0.02,"1,356.59",Hillsboro,Hillsboro,TX,Texas,48217,Hill,32.0093,-97.115,8281,294.2,shape,False,True,America/Chicago,3,76645,1840020783
Texas,39781,Hondo,48,0,"6,006","2,403","7,863,462",3.04,"11,836",0.0,"1,978.20",Hondo,Hondo,TX,Texas,48325,Medina,29.3531,-99.1616,8424,323.7,shape,False,True,America/Chicago,3,78861,1840020963
Texas,40153,Hornsby Bend,48,0,"11,337","3,772","9,835,212",3.8,0,0.0,"2,985.47",Hornsby Bend,Hornsby Bend,TX,Texas,48453,Travis,30.2388,-97.5899,11031,453.1,shape,False,False,America/Chicago,3,78725 78724,1840027020
Texas,40189,Horseshoe Bay,48,0,"5,583","4,331","21,962,211",8.48,"259,131",0.1,658.4,Horseshoe Bay,Horseshoe Bay,TX,Texas,48299,Llano,30.5403,-98.3804,4601,124.0,shape,False,True,America/Chicago,3,78657,1840020869
Texas,40429,Houston,48,0,"5,853,575","2,232,438","4,539,436,477","1,752.69","66,558,913",25.7,"3,339.77",Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,5970127,1384.0,shape,False,True,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77093 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77091 77092 77053 77345 77547 77080 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77489 77003 77002 77007 77006 77005 77004 77009 77008 77450 77086 77089 77088 77083 77082 77081 77087 77085 77084 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77201 77202 77203 77205 77206 77207 77208 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925
Texas,40807,Huntsville,48,0,"43,415","15,643","44,021,442",17,"741,871",0.29,"2,554.31",Huntsville,Huntsville,TX,Texas,48471,Walker,30.7009,-95.5567,46202,418.9,shape,False,True,America/Chicago,3,77341 77342 77320 77340 77343 77344 77348 77349,1840019565
Texas,41644,Iowa Park,48,0,"6,454","2,785","7,925,550",3.06,"187,040",0.07,"2,109.10",Iowa Park,Iowa Park,TX,Texas,48485,Wichita,33.9622,-98.6819,6529,596.5,shape,False,True,America/Chicago,3,76367,1840019279
Texas,42427,Jacksonville,48,0,"13,881","5,546","27,309,380",10.54,0,0.0,"1,316.46",Jacksonville,Jacksonville,TX,Texas,48073,Cherokee,31.9642,-95.2617,14104,376.7,shape,False,True,America/Chicago,3,75766,1840019515
