STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
Alabama,75502,"Robertsdale, AL",1,,"7,429","3,003","15,229,695",5.88,"14,294",0.01,"1,263.39"
Alabama,76906,"Russellville, AL",1,,"9,939","3,847","17,999,410",6.95,"34,674",0.01,"1,430.15"
Alabama,80092,"Scottsboro, AL",1,,"10,791","5,239","31,970,898",12.34,0,0,874.19
Alabama,80524,"Selma, AL",1,,"21,207","10,472","47,365,604",18.29,"330,985",0.13,"1,159.62"
Alabama,83377,"South Pittsburg--Bridgeport, TN--AL",1,P,"2,191","1,155","8,154,124",3.15,0,0,695.93
Alabama,86194,"Sylacauga, AL",1,,"16,980","8,382","49,864,638",19.25,"288,911",0.11,881.95
Alabama,86437,"Talladega, AL",1,,"12,609","5,687","26,158,998",10.1,"9,219",0,"1,248.41"
Alabama,88543,"Troy, AL",1,,"14,466","6,857","25,412,899",9.81,"14,983",0.01,"1,474.32"
Alabama,89110,"Tuscaloosa, AL",1,,"156,450","71,635","228,331,801",88.16,"3,907,120",1.51,"1,774.63"
Alabama,89164,"Tuskegee, AL",1,,"9,003","4,332","21,229,049",8.2,"419,231",0.16,"1,098.38"
Alabama,90082,"Valley--Lanett, AL--GA",1,P,"17,127","7,985","40,703,667",15.72,0,0,"1,089.80"
Alabama,94618,"Wetumpka, AL",1,,"6,488","2,510","11,512,073",4.44,"76,695",0.03,"1,459.67"
Alaska,2305,"Anchorage, AK",2,,"249,252","101,938","237,473,557",91.69,"2,775,799",1.07,"2,718.45"
Alaska,2332,"Anchorage Northeast, AK",2,,"29,561","11,251","45,798,297",17.68,"475,350",0.18,"1,671.74"
Alaska,7381,"Bethel, AK",2,,"5,097","1,756","38,849,240",15,"651,455",0.25,339.81
Alaska,28549,"Fairbanks, AK",2,,"71,396","30,180","192,442,666",74.3,"6,579,721",2.54,960.88
Alaska,43561,"Juneau, AK",2,,"24,756","10,960","38,274,460",14.78,"633,165",0.24,"1,675.21"
Alaska,44344,"Kenai, AK",2,,"8,642","3,805","33,795,257",13.05,"126,696",0.05,662.3
Alaska,44668,"Ketchikan, AK",2,,"11,975","5,458","61,324,183",23.68,"578,935",0.22,505.76
Alaska,45667,"Kodiak--Mill Bay, AK",2,,"9,530","3,798","12,907,517",4.98,"656,531",0.25,"1,912.26"
Alaska,82306,"Sitka, AK",2,,"7,668","3,663","17,077,399",6.59,"3,677,390",1.42,"1,162.94"
Alaska,82819,"Soldotna, AK",2,,"4,646","2,405","13,119,349",5.07,"7,710",0,917.2
Alaska,92459,"Wasilla--Knik-Fairview--North Lakes, AK",2,,"53,444","20,504","149,262,656",57.63,"6,247,204",2.41,927.35
Arizona,3088,"Arizona City, AZ",4,,"9,640","4,466","11,238,099",4.34,"198,208",0.08,"2,221.68"
Arizona,6949,"Benson, AZ",4,,"3,830","2,342","7,028,637",2.71,"4,137",0,"1,411.32"
Arizona,7813,"Bisbee, AZ",4,,"4,637","3,033","8,165,838",3.15,0,0,"1,470.73"
Arizona,8623,"Blythe, CA--AZ",4,P,429,343,"1,530,843",0.59,"2,032",0,725.81
Arizona,11134,"Buckeye, AZ",4,,"23,897","7,659","20,154,863",7.78,0,0,"3,070.87"
Arizona,11139,"Buckeye North, AZ",4,,"6,796","3,928","7,276,729",2.81,0,0,"2,418.88"
Arizona,11431,"Bullhead City, AZ--NV",4,P,"54,177","30,485","87,823,356",33.91,"803,564",0.31,"1,597.73"
Arizona,13170,"Camp Verde, AZ",4,,"5,759","2,649","13,472,196",5.2,0,0,"1,107.15"
Arizona,14401,"Casa Grande, AZ",4,,"50,981","22,577","55,593,619",21.46,0,0,"2,375.10"
Arizona,16561,"Chino Valley, AZ",4,,"13,317","5,875","35,536,452",13.72,0,0,970.58
Arizona,16830,"Cienega Springs, AZ",4,,"2,041","2,934","8,288,459",3.2,0,0,637.77
Arizona,19882,"Coolidge, AZ",4,,"12,008","4,486","10,720,219",4.14,"19,717",0.01,"2,901.11"
Arizona,20247,"Corona de Tucson, AZ",4,,"7,866","2,696","8,889,233",3.43,0,0,"2,291.86"
Arizona,20595,"Cottonwood (Yavapai County)--Verde Village, AZ",4,,"29,121","13,877","43,787,055",16.91,0,0,"1,722.50"
Arizona,24499,"Douglas, AZ",4,,"16,582","6,504","14,195,977",5.48,0,0,"3,025.31"
Arizona,29818,"Flagstaff, AZ",4,,"79,842","32,500","75,789,980",29.26,"78,821",0.03,"2,728.46"
Arizona,29980,"Florence East, AZ",4,,"14,049","2,796","6,876,834",2.66,0,0,"5,291.21"
Arizona,30073,"Florence West, AZ",4,,"11,636","5,032","15,214,599",5.87,0,0,"1,980.80"
Arizona,33679,"Globe, AZ",4,,"12,620","6,333","21,079,174",8.14,634,0,"1,550.61"
Arizona,33742,"Gold Canyon, AZ",4,,"9,590","6,814","20,381,511",7.87,0,0,"1,218.65"
Arizona,33960,"Goodyear South, AZ",4,,"16,042","6,587","24,857,623",9.6,0,0,"1,671.46"
Arizona,35245,"Green Valley, AZ",4,,"37,315","23,803","52,226,785",20.16,"39,434",0.02,"1,850.49"
Arizona,38060,"Heber-Overgaard, AZ",4,,"3,573","4,832","23,887,619",9.22,0,0,387.4
Arizona,45127,"Kingman, AZ",4,,"46,953","20,797","58,382,216",22.54,0,0,"2,082.96"
Arizona,46747,"Lake Havasu City, AZ",4,,"59,017","36,876","87,507,009",33.79,"118,649",0.05,"1,746.76"
Arizona,54295,"Marana, AZ",4,,"10,618","3,623","8,432,271",3.26,0,0,"3,261.34"
Arizona,54477,"Maricopa, AZ",4,,"57,771","20,897","34,187,863",13.2,"182,664",0.07,"4,376.59"
Arizona,56413,"Mesquite, NV--AZ",4,P,94,114,"39,003",0.02,0,0,"6,242.06"
Arizona,60663,"Munds Park, AZ",4,,773,"2,140","3,093,852",1.19,0,0,647.11
Arizona,61435,"Needles, CA--AZ",4,P,"1,986","1,324","4,498,858",1.74,"83,644",0.03,"1,143.34"
Arizona,63325,"Nogales, AZ",4,,"19,168","7,334","32,871,111",12.69,"26,000",0.01,"1,510.29"
Arizona,66808,"Page, AZ",4,,"7,022","2,799","18,600,590",7.18,0,0,977.76
Arizona,67645,"Parker, AZ--CA",4,P,"4,618","1,938","4,323,224",1.67,"23,686",0.01,"2,766.58"
Arizona,68158,"Payson, AZ",4,,"17,022","9,963","35,999,080",13.9,"18,536",0.01,"1,224.66"
Arizona,68499,"Peoria, AZ",4,,"19,593","8,526","18,768,067",7.25,"47,510",0.02,"2,703.83"
Arizona,69184,"Phoenix--Mesa--Scottsdale, AZ",4,,"3,976,313","1,670,745","2,876,131,867","1,110.48","8,942,624",3.45,"3,580.71"
Arizona,69192,"Phoenix West--Goodyear--Avondale, AZ",4,,"419,946","136,070","330,516,491",127.61,"1,003,179",0.39,"3,290.77"
Arizona,69562,"Pinetop-Lakeside, AZ",4,,"9,393","9,313","37,701,483",14.56,"547,975",0.21,645.27
Arizona,72112,"Prescott--Prescott Valley, AZ",4,,"92,427","45,998","126,274,121",48.75,70,0,"1,895.76"
Arizona,72122,"Prescott Valley East, AZ",4,,"7,229","4,225","9,457,680",3.65,0,0,"1,979.66"
Arizona,72937,"Quartzsite, AZ",4,,"2,280","2,543","8,473,647",3.27,0,0,696.89
Arizona,75092,"Rio Verde, AZ",4,,"2,765","2,088","7,922,293",3.06,"14,833",0.01,903.94
Arizona,77095,"Safford, AZ",4,,"18,331","7,461","27,077,817",10.45,"7,239",0,"1,753.36"
Arizona,77158,"Sahuarita, AZ",4,,"17,276","5,718","12,404,696",4.79,0,0,"3,607.07"
Arizona,79120,"San Luis, AZ",4,,"24,790","6,634","9,567,919",3.69,"54,603",0.02,"6,710.53"
Arizona,80470,"Sedona, AZ",4,,"9,190","6,317","32,297,893",12.47,"60,707",0.02,736.95
Arizona,81712,"Show Low, AZ",4,,"12,173","8,869","32,635,191",12.6,0,0,966.07
Arizona,81901,"Sierra Vista, AZ",4,,"54,274","24,495","73,252,360",28.28,"35,908",0.01,"1,918.97"
Arizona,82684,"Snowflake, AZ",4,,"5,342","1,929","9,831,498",3.8,0,0,"1,407.28"
Arizona,82981,"Somerton, AZ",4,,"13,847","4,035","5,246,042",2.03,"8,514",0,"6,836.31"
Arizona,88705,"Tuba City, AZ",4,,"7,942","2,546","14,399,283",5.56,0,0,"1,428.52"
Arizona,88732,"Tucson, AZ",4,,"875,441","398,383","925,530,003",357.35,"1,434,827",0.55,"2,449.82"
Arizona,89910,"Vail, AZ",4,,"12,835","4,690","14,923,233",5.76,0,0,"2,227.57"
Arizona,90640,"Village of Oak Creek (Big Park), AZ",4,,"6,128","4,354","13,614,844",5.26,0,0,"1,165.75"
Arizona,95158,"Wickenburg, AZ",4,,"4,801","2,826","12,194,044",4.71,"1,952",0,"1,019.72"
Arizona,96616,"Winslow, AZ",4,,"7,667","3,320","9,420,762",3.64,0,0,"2,107.84"
Arizona,98020,"Yuma, AZ--CA",4,P,"134,457","69,645","134,146,713",51.79,"242,684",0.09,"2,595.98"
Arkansas,3115,"Arkadelphia, AR",5,,"10,086","4,205","16,058,897",6.2,"1,130",0,"1,626.68"
Arkansas,5545,"Batesville, AR",5,,"10,913","4,724","20,312,531",7.84,"22,032",0.01,"1,391.48"
Arkansas,6247,"Beebe, AR",5,,"7,216","2,969","11,586,697",4.47,0,0,"1,613.00"
Arkansas,7300,"Berryville, AR",5,,"5,057","2,008","10,832,198",4.18,0,0,"1,209.13"
Arkansas,8650,"Blytheville, AR",5,,"15,873","7,845","37,636,444",14.53,0,0,"1,092.32"
Arkansas,12916,"Camden, AR",5,,"9,873","5,192","28,620,569",11.05,0,0,893.45
Arkansas,17290,"Clarksville, AR",5,,"7,816","3,324","20,183,782",7.79,"117,983",0.05,"1,002.95"
Arkansas,19801,"Conway, AR",5,,"66,619","29,045","85,159,076",32.88,"719,123",0.28,"2,026.12"
Arkansas,21340,"Crossett, AR",5,,"7,184","3,550","23,335,570",9.01,"470,878",0.18,797.34
Arkansas,23608,"De Queen, AR",5,,"5,894","2,163","12,462,732",4.81,"50,899",0.02,"1,224.88"
Arkansas,24877,"Dumas, AR",5,,"4,308","2,143","8,046,385",3.11,0,0,"1,386.67"
Arkansas,26470,"El Dorado, AR",5,,"18,698","8,867","52,478,274",20.26,0,0,922.81
