,STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
2417,Texas,71182,Port Isabel--South Padre Island--Laguna Vista,48,0,"12,413","11,230","18,973,479",7.33,"946,849",0.37,"1,694.45"
2418,Texas,71371,Port Lavaca,48,0,"12,055","5,006","27,154,857",10.48,"121,453",0.05,"1,149.79"
2419,Texas,72397,Princeton,48,0,"18,184","5,936","21,331,024",8.24,"156,654",0.06,"2,207.88"
2420,Texas,73612,Raymondville,48,0,"12,986","3,991","14,592,800",5.63,"151,218",0.06,"2,304.81"
2421,Texas,75072,Rio Grande City--Roma,48,0,"47,070","16,204","50,484,921",19.49,"356,185",0.14,"2,414.80"
2422,Texas,75556,Robstown,48,0,"10,775","4,198","9,491,863",3.66,0,0.0,"2,940.11"
2423,Texas,75691,Rockdale,48,0,"5,464","2,537","8,550,770",3.3,0,0.0,"1,655.02"
2424,Texas,75853,Rockport,48,0,"16,217","10,898","49,427,181",19.08,"1,561,027",0.6,849.77
2425,Texas,76555,Royse City,48,0,"13,922","4,799","15,887,851",6.13,"75,670",0.03,"2,269.52"
2426,Texas,78553,San Angelo,48,0,"99,982","43,410","127,600,935",49.27,"2,639,628",1.02,"2,029.39"
2427,Texas,78580,San Antonio,48,0,"1,992,689","789,482","1,588,802,530",613.44,"8,698,357",3.36,"3,248.38"
2428,Texas,78958,Sanger,48,0,"8,279","3,144","11,371,906",4.39,"57,008",0.02,"1,885.57"
2429,Texas,79201,San Marcos,48,0,"70,801","30,583","63,296,277",24.44,"115,426",0.04,"2,897.07"
2430,Texas,80281,Sealy,48,0,"6,385","2,718","14,718,390",5.68,"160,229",0.06,"1,123.57"
2431,Texas,80497,Seguin,48,0,"28,998","12,250","51,794,885",20,"1,963,042",0.76,"1,450.04"
2432,Texas,80632,Seminole,48,0,"7,068","2,807","8,746,908",3.38,0,0.0,"2,092.86"
2433,Texas,81631,Sherman--Denison,48,0,"66,691","28,718","99,698,210",38.49,"309,737",0.12,"1,732.52"
2434,Texas,82009,Silsbee,48,0,"9,234","4,130","31,325,736",12.09,"183,333",0.07,763.46
2435,Texas,82171,Sinton,48,0,"5,661","2,203","6,005,422",2.32,0,0.0,"2,441.45"
2436,Texas,82414,Slaton,48,0,"5,678","2,464","7,125,449",2.75,"30,586",0.01,"2,063.86"
2437,Texas,82711,Snyder,48,0,"11,547","4,783","18,641,089",7.2,"58,466",0.02,"1,604.34"
2438,Texas,83080,Sonterra,48,0,"9,024","3,182","8,032,771",3.1,"25,107",0.01,"2,909.59"
2439,Texas,84763,Stephenville,48,0,"20,852","8,447","24,282,134",9.38,"11,395",0.0,"2,224.12"
2440,Texas,85546,Sulphur Springs,48,0,"14,683","6,547","28,051,656",10.83,"476,384",0.18,"1,355.67"
2441,Texas,86167,Sweetwater,48,0,"10,372","5,035","19,549,660",7.55,"2,421",0.0,"1,374.11"
2442,Texas,86734,Taylor,48,0,"15,147","5,969","18,191,471",7.02,"167,477",0.06,"2,156.54"
2443,Texas,87058,Temple,48,0,"114,632","47,995","151,216,886",58.39,"542,019",0.21,"1,963.38"
2444,Texas,87166,Terrell,48,0,"16,581","6,180","31,864,140",12.3,"11,575",0.0,"1,347.74"
2445,Texas,87193,Texarkana,48,P,"53,144","23,134","116,566,135",45.01,"638,975",0.25,"1,180.81"
2446,Texas,87300,The Woodlands--Conroe,48,0,"402,454","153,788","567,571,240",219.14,"3,890,375",1.5,"1,836.51"
2447,Texas,89326,Tyler,48,0,"131,028","55,860","211,165,770",81.53,"2,199,378",0.85,"1,607.08"
2448,Texas,89839,Uvalde,48,0,"15,926","6,182","19,037,171",7.35,"22,341",0.01,"2,166.72"
2449,Texas,90379,Vernon,48,0,"9,524","4,516","15,002,986",5.79,"23,262",0.01,"1,644.14"
2450,Texas,90514,Victoria,48,0,"65,986","28,572","87,023,661",33.6,0,0.0,"1,963.87"
2451,Texas,91027,Waco,48,0,"192,844","79,136","232,786,010",89.88,"1,417,901",0.55,"2,145.59"
2452,Texas,93484,Weatherford,48,0,"48,112","19,274","100,200,945",38.69,"176,674",0.07,"1,243.60"
2453,Texas,93970,West Columbia,48,0,"5,888","2,537","9,625,372",3.72,"1,285,408",0.5,"1,584.34"
2454,Texas,94672,Wharton,48,0,"8,526","3,907","12,064,164",4.66,"7,360",0.0,"1,830.40"
2455,Texas,94863,Whitehouse,48,0,"9,139","3,272","13,499,092",5.21,"151,177",0.06,"1,753.44"
2456,Texas,95104,Wichita Falls,48,0,"97,039","42,923","131,530,216",50.78,0,0.0,"1,910.81"
2457,Texas,97696,Yoakum,48,0,"5,598","2,473","8,161,955",3.15,0,0.0,"1,776.38"
2458,Texas,98101,Zapata--Medina,48,0,"10,942","4,642","12,847,239",4.96,0,0.0,"2,205.89"
